time,cpu-cycles,instructions,l1d.replacement,icache_64b.iftag_miss,l2_rqsts.all_demand_miss,longest_lat_cache.miss,br_inst_retired.all_branches,frontend_retired.itlb_miss,itlb_misses.walk_completed,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,branch-misses
0.100147363,456035951,806165718,38117417,446879,11932692,5708352,216907802,558,864,18983,25383,2187370
0.200389126,459116285,574087409,25271248,17055,9648088,3316697,144096170,21,156,32213,295,6551907
0.300591168,458958052,498238976,18428549,12684,6552234,2506574,124549108,15,140,25784,220,7746323
0.400808160,459248163,473123154,16188576,11227,5359297,1891785,117789280,14,107,21720,194,8179764
0.501016261,458795107,456722529,15050320,16811,4771375,1874954,113905609,28,184,18725,249,8328905
0.601227394,459132511,451557764,14563702,12594,4523781,1519465,113178137,30,126,16095,206,8373923
0.701442020,459275379,451888653,14325412,10322,4298328,1357216,113272668,14,126,14993,213,8413196
0.801648583,459082488,448785314,14028996,13199,4107693,1712942,112174229,13,115,13733,244,8354541
0.901853458,459166319,450430967,13974331,9036,4025410,1358340,112699494,2,118,13095,194,8391266
1.002066278,459190941,448467020,13849372,10321,3893639,1530872,111742832,12,161,11844,176,8399468
1.102283243,459333106,448799279,13782558,9833,3772437,1353261,111720378,15,103,11211,154,8442516
1.202490655,458913101,444574870,13622320,11952,3633293,1546425,110740588,11,96,9745,152,8378789
1.302726670,459385847,448185788,13650675,16007,3541784,1286754,111221908,59,216,9679,166,8420264
1.402913582,459127664,449948332,13594270,10349,3413135,1186958,111990660,15,118,8811,195,8437519
1.503126522,459227507,453270789,13615041,13311,3308167,1309081,112819071,24,103,7574,233,8369674
1.603335838,458837284,452670066,13469422,13074,3162301,1424854,112773005,64,176,6893,206,8300616
1.703539567,459208818,455863374,13569353,11167,3090924,1019341,113876166,13,131,5846,199,8367663
1.803749538,459202431,461612939,13598277,11868,2990370,1085570,115480733,10,103,4658,208,8331935
1.903950050,459210080,461931758,13560486,10113,2879130,1230481,115509256,16,120,3473,209,8251269
2.004154426,459171110,466215490,13668299,11660,2797601,1087212,116186114,2,174,2395,193,8280864
2.104366399,459208355,472899582,13822296,10027,2833147,1127863,118987291,0,173,1936,213,8166899
2.204577247,458954264,470902624,13807909,15353,2900652,1244609,118304038,59,222,3099,155,8135297
2.304787576,459126894,475336203,13849377,12127,2940211,1194075,119038058,39,128,3698,141,8176445
2.405004107,459344206,477979157,13862653,11885,3015201,1079499,119755601,14,127,4192,119,8192007
2.505210392,459092170,475996274,13912875,10310,3075700,1034819,119611675,14,142,4622,127,8203345
2.605412452,459262024,472176162,13944552,9770,3127477,998586,118524795,40,163,4800,114,8239053
2.705619873,459281562,467773691,13844352,10564,3148139,1048465,117488779,15,130,5174,161,8214782
2.805822636,459132840,466573498,13773480,8864,3178940,1115535,117234260,15,128,5740,189,8213932
2.906035792,459299406,466950238,13808778,10778,3184500,1146704,116837237,11,128,5726,204,8247411
3.006245773,458866648,456750991,13591237,14908,3119527,1429080,114231800,30,135,7119,233,8273099
3.106447373,459261015,461171461,13682906,9502,3153633,1021190,115658457,1,98,5372,189,8354857
3.206653989,459158608,462382314,13660264,11507,3120087,1053211,115864788,16,129,5488,226,8311244
3.306857579,459112295,462233980,13608449,10492,2975683,1265726,115359234,11,133,4500,157,8251414
3.407066047,459091012,461988001,13469171,11999,3020027,1223302,115652946,10,178,4277,152,8239161
3.507277724,459261573,461593392,13505576,9786,2985686,1126819,115873609,0,160,3908,180,8289115
3.607479711,459285954,461491186,13509753,10184,2961102,1103425,115431581,0,119,4215,161,8306307
3.707679482,458947020,458458439,13392436,9244,2923776,1246799,114892181,14,156,4004,164,8234603
3.807891558,459276670,460569322,13398106,9977,2904670,1028652,115595416,14,127,3729,209,8308193
3.908095998,459250854,459782218,13341121,9616,2845243,1235315,114731263,0,149,3174,229,8297282
4.008299903,458870082,457966284,13264264,10134,2808106,1275744,114701138,26,164,2869,224,8264103
4.108511810,459355396,461668332,13345567,9488,2822193,910642,115419052,0,139,2812,231,8344844
4.208711437,459191266,460358717,13334320,8661,2817294,900047,115280437,0,102,2924,218,8337996
4.308918522,459168712,457879574,13267914,9476,2785550,1140591,114415596,25,164,2902,203,8329838
4.409121894,459309400,458941302,13302627,9239,2778582,1031234,114557939,15,154,2935,218,8361782
4.509327938,459210730,458894328,13344942,9195,2823799,923271,114671446,0,96,3315,181,8339601
4.609531812,459182900,457912613,13364467,9486,2868065,974038,114656001,2,125,3621,150,8375910
4.709732763,459149988,452611934,13265510,10395,2864950,1265035,112824030,1,135,4605,169,8317005
4.809934705,459061910,450243775,13325964,10381,2900798,1349853,112000805,13,130,4367,178,8310509
4.910147198,459304761,451107489,13371760,9142,2950689,1260142,112392797,0,111,4585,184,8349695
5.010341160,459113425,451719950,13422297,11652,2919820,1220495,112914999,13,106,4442,237,8334368
5.110546096,458676562,450092504,13343739,9781,2810056,1348311,112800043,0,156,4561,233,8267962
5.210770371,459251276,460607734,13380688,10750,2672018,912293,115331935,13,120,2150,374,8330448
5.310974866,459048604,456262390,13244555,10748,2671992,1089965,114271565,17,174,2395,361,8321093
5.411181401,459218191,442706731,13441552,10982,2779714,964531,110630859,1,143,6035,346,8520254
5.511390350,459188542,452158151,13350065,9912,2757814,1212218,112506677,0,96,3203,351,8359396
5.611593317,458863033,452016357,13225613,11197,2695024,1245765,113285479,0,119,3303,340,8373527
