time,cpu-cycles,instructions,l1d.replacement,icache_64b.iftag_miss,l2_rqsts.all_demand_miss,longest_lat_cache.miss,br_inst_retired.all_branches,frontend_retired.itlb_miss,itlb_misses.walk_completed,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,branch-misses
0.100147511,457605823,1040202613,12468216,1102989,1639598,1691351,46486343,2284,7370,13548,209744,30207
0.200430797,459564526,821360749,40433713,286218,2042036,3006192,47075138,109,314,20104,396182,47991
0.300651710,458946377,812830085,58288187,24785,1403075,3413324,50380490,107,286,75252,24377,43049
0.400887741,459383035,864041757,67366094,303846,1287810,1013444,8991915,1,14,18165,49650,7031
0.501103292,459288454,809577517,60247007,312258,1920982,2424261,27355751,7216,412,15812,119746,9544
0.601323861,459119474,508200660,21430158,128815,3610007,6013634,102255210,260,716,24493,1282399,87463
0.701549984,459428492,762000126,63205218,6766087,981743,875257,10892883,0,77,19675,299141,11415
0.801741456,458777471,854868051,70151240,7221235,1025157,852118,10849027,147,122,17459,11375,2881
0.901963144,459271061,798754866,90840062,4419781,1975863,1862786,7067532,83,8,55777,6822,5276
1.002201858,459141909,726616226,121829614,19708,3432485,3000876,1429529,40,45,99431,536,3793
1.102424032,459146961,758738688,61955138,20930,1834731,3909618,36561938,89,225,39980,22843,22350
1.202634633,458867180,809627900,60662710,5086695,1014272,1359970,26708595,2,55,77186,79435,7691
1.302869259,459472055,857947759,70566484,7219960,994464,825806,10880803,26,3,17030,11329,2574
1.403091403,459461297,832396121,80307078,5062005,1695643,1524041,8726343,43,9,20326,11393,3024
1.503320947,458952064,723280404,121098789,39324,3424802,3077549,1418821,35,59,97505,512,3781
1.603530561,458990654,701938743,76772560,20848,2090725,5399422,28261216,69,130,61213,8402,5735
1.703767414,459047947,791976810,57240747,2457725,4059565,4269821,32756766,9,67,79785,77209,20127
1.804000864,459473070,858024844,70599492,7306227,1007260,856910,10885533,0,35,16910,11352,2676
1.904216991,459245763,856850176,70393237,7205136,994541,867067,10876514,0,46,17078,11284,2706
2.004442953,458985227,744690131,110333683,1780524,2941007,2762613,2839506,30,58,94843,2103,3625
2.104673587,459218646,710533263,103771145,18231,3182703,3983711,4724351,27,44,82179,557,3159
2.204935706,459167080,776365905,50624972,29514,1224764,6136467,56056518,73,148,37069,51324,25413
2.305144539,459453122,882461519,69597460,19335,636911,838632,5360636,22,27,12496,6000,3735
2.405369939,459489424,572153718,56944130,14153,590439,1178854,15702418,64,140,28462,29346,28738
2.505601830,459341683,651260417,31065314,2658407,2498802,4791657,90903583,139,625,24871,1440291,87589
2.605816272,459388252,861900251,70942432,7231387,680599,631783,10932181,0,31,17170,11351,2608
2.706042848,459302450,860928731,70881866,7194492,691590,661900,10926166,0,35,17689,11404,2610
2.806262660,458945679,768140111,108343128,1041535,2930259,2872013,2766116,15,40,78339,4726,3617
2.906492574,459099832,737646963,117229515,19669,3025447,4176367,11517322,43,90,88123,3717,3277
3.006746289,459165229,763078692,50154091,17851,692946,3265838,53325916,106,235,82342,80915,38579
3.106968128,459370064,861074692,70837505,7202103,675651,636831,10938393,0,35,17821,11352,2676
3.207203082,459473744,861331530,70842306,7239551,682869,650800,10924977,0,34,17468,11455,2619
3.307434953,459118064,783428102,100681472,2815243,2087357,2213507,5596012,0,26,63618,4981,3483
3.407656873,459025309,743286272,124929845,20386,3049835,2920612,1468707,0,0,101246,456,3787
3.507861527,459076948,789967379,58707770,17451,1081988,5595289,46509382,32,53,29039,14632,34720
3.608091483,459227011,784478868,63571872,6160976,693646,1110519,23217889,65,178,75924,79596,6408
3.708305355,459143165,859764520,70831615,7195230,681479,665159,10910348,3,71,17293,11286,2599
