time,cpu-cycles,instructions,l1d.replacement,icache_64b.iftag_miss,l2_rqsts.all_demand_miss,longest_lat_cache.miss,br_inst_retired.all_branches,frontend_retired.itlb_miss,itlb_misses.walk_completed,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,branch-misses
0.100147206,456755592,1291362820,7513808,570441,2856236,3472090,49302590,711,2197,14554,466779,56042
0.200375626,459480437,1832441076,345008,52418,119869,118248,50959979,2,103,2102,631,30032
0.300557232,459304880,1838202506,562170,47255,122919,135420,51311981,42,145,2314,710,51011
0.400721202,459148806,1827730167,387356,50644,128058,117967,50727322,36,147,2309,706,72160
0.500879207,459179614,1851529988,499468,44499,159659,152505,55496246,1,119,3754,884,78504
0.601074678,459258857,1779736230,746905,41057,192491,215013,62227838,94,281,3800,4415,748293
0.701274204,459069645,1365983307,1049682,5256617,414188,467486,73525308,76,256,1546,15137,3293668
0.801468638,459244480,1677007171,2763947,4289643,442704,552071,62697390,196,550,2418,17416,1103266
0.901671501,459209024,1743821731,3537431,3331608,143802,254816,52638900,5,180,1839,4640,844446
1.001884500,459309696,1741911186,1760063,1400583,387583,579135,61484937,25,162,3357,10706,683554
1.102088489,459272032,1768973719,3890656,3088615,233739,327270,58862019,5,181,2766,11985,700697
1.202290079,459312287,1749781158,3468035,3176334,167385,335181,51932956,3,113,1680,2426,842903
1.302502741,459368731,1767634059,1881740,1304869,306144,521776,60931226,17,120,3956,2512,690524
1.402704686,459318616,1776069526,3768998,3095274,141524,276119,57346483,2,118,2450,4278,697746
1.502918246,459417855,1743850854,3557038,2641786,228803,446282,50842042,5,115,1839,2390,805322
1.603117832,459188094,1784588475,1862252,1571381,258117,442585,63160719,148,232,3650,3973,674863
1.703321468,459053620,1772362167,3754944,3098052,115090,254708,55659488,3,226,1762,3255,721902
1.803538070,459307299,1759613371,3114467,2431831,184453,340772,50940339,10,136,1990,2243,663772
1.903739973,459275904,1807333775,1294963,578368,216648,316104,67477924,91,252,3225,3763,485374
2.003942516,459112084,1855106920,568466,53971,202892,204052,61804566,1,116,3964,925,64838
